namen,gerundet,cat_f,cat_d
Uetikon am See,-297,Perte de,Verlust von
Givisiez,-4497,Perte de,Verlust von
Mies,82,Economie de,Gewinn von
Eppenberg-Wöschnau,-5462,Perte de,Verlust von
Grandevent,-35,Perte de,Verlust von
Tannay,4,Economie de,Gewinn von
Troinex,47,Economie de,Gewinn von
Boulens,21,Economie de,Gewinn von
Hermrigen,1339,Economie de,Gewinn von
Epsach,1492,Economie de,Gewinn von
Ogens,454,Economie de,Gewinn von
Hemmiken,-863,Perte de,Verlust von
Oppligen,12539,Economie de,Gewinn von
Courgevaux,-4769,Perte de,Verlust von
Inkwil,1516,Economie de,Gewinn von
Arni (AG),NA,NA,NA
Bursins,388,Economie de,Gewinn von
Recherswil,1423,Economie de,Gewinn von
Etziken,NA,NA,NA
Ursins,1,Economie de,Gewinn von
Unterengstringen,NA,NA,NA
Niederrohrdorf,-3194,Perte de,Verlust von
Kernenried,-546,Perte de,Verlust von
Niederlenz,NA,NA,NA
Ederswiler,11513,Economie de,Gewinn von
Grangettes,-4232,Perte de,Verlust von
Denens,229,Economie de,Gewinn von
Grellingen,545,Economie de,Gewinn von
Bedigliora,11,Economie de,Gewinn von
Comunanza Capriasca/Lugano,NA,NA,NA
Tägerig,-295,Perte de,Verlust von
Tschugg,1543,Economie de,Gewinn von
Gy,4117,Economie de,Gewinn von
La Tour-de-Peilz,2665,Economie de,Gewinn von
Geltwil,NA,NA,NA
Vucherens,1573,Economie de,Gewinn von
Hunzenschwil,-4395,Perte de,Verlust von
Oberlunkhofen,NA,NA,NA
Turgi,-328,Perte de,Verlust von
Brünisried,-4115,Perte de,Verlust von
Hersberg,-1562,Perte de,Verlust von
Mutrux,-144,Perte de,Verlust von
Dompierre (VD),353,Economie de,Gewinn von
Wittinsburg,-88,Perte de,Verlust von
Hausen (AG),-1422,Perte de,Verlust von
Volken,NA,NA,NA
Rovray,-37,Perte de,Verlust von
Ammerswil,-39,Perte de,Verlust von
Mülligen,-3842,Perte de,Verlust von
Boussens,192,Economie de,Gewinn von
Graben,1627,Economie de,Gewinn von
Ferreyres,1183,Economie de,Gewinn von
Mumpf,-3168,Perte de,Verlust von
Itingen,623,Economie de,Gewinn von
Bussy-sur-Moudon,358,Economie de,Gewinn von
Rothenbrunnen,4424,Economie de,Gewinn von
Le Vaud,124,Economie de,Gewinn von
Bioley-Orjulaz,NA,NA,NA
Missy,-483,Perte de,Verlust von
Lupsingen,7875,Economie de,Gewinn von
Flumenthal,1114,Economie de,Gewinn von
Chamblon,21,Economie de,Gewinn von
Rekingen (AG),NA,NA,NA
Burg im Leimental,542,Economie de,Gewinn von
Grindel,3967,Economie de,Gewinn von
Treytorrens (Payerne),414,Economie de,Gewinn von
Montcherand,-5,Perte de,Verlust von
Studen (BE),154,Economie de,Gewinn von
Walliswil bei Wangen,1514,Economie de,Gewinn von
Fischbach-Göslikon,NA,NA,NA
